date,model,portfolio_value
2013-10-31,BSS,109996.10
2013-11-30,BSS,110130.22
2013-12-31,BSS,110469.96
2014-01-31,OLS,107100.36
2014-02-28,OLS,110809.14
2014-03-31,OLS,112485.79
2014-04-30,OLS,116551.21
2014-05-31,OLS,116967.42
2014-06-30,OLS,118413.51
2014-07-31,OLS,114944.58
2014-08-31,OLS,118181.34
2014-09-30,OLS,118351.89
2014-10-31,OLS,121540.35
2014-11-30,OLS,126437.04
2014-12-31,OLS,123993.03
2014-01-31,FF,108094.82
2014-02-28,FF,111054.68
2014-03-31,FF,112482.04
2014-04-30,FF,116760.06
2014-05-31,FF,117724.66
2014-06-30,FF,119148.59
2014-07-31,FF,115986.50
2014-08-31,FF,119340.21
2014-09-30,FF,119710.53
2014-10-31,FF,123207.30
2014-11-30,FF,128626.58
2014-12-31,FF,125689.65
2014-01-31,LASSO,109667.26
2014-02-28,LASSO,112589.60
2014-03-31,LASSO,114909.43
2014-04-30,LASSO,118510.53
2014-05-31,LASSO,119817.01
2014-06-30,LASSO,121148.17
2014-07-31,LASSO,118498.64
2014-08-31,LASSO,121986.10
2014-09-30,LASSO,122751.65
2014-10-31,LASSO,125305.22
2014-11-30,LASSO,131042.48
2014-12-31,LASSO,127249.32
2014-01-31,BSS,105864.24
2014-02-28,BSS,108140.83
2014-03-31,BSS,109725.34
2014-04-30,BSS,114415.30
2014-05-31,BSS,114330.07
2014-06-30,BSS,116116.94
2014-07-31,BSS,111599.10
2014-08-31,BSS,114611.95
2014-09-30,BSS,114684.24
2014-10-31,BSS,116050.23
2014-11-30,BSS,120237.60
2014-12-31,BSS,117131.76
2015-01-31,OLS,123259.94
2015-02-28,OLS,127521.19
2015-03-31,OLS,124888.59
2015-04-30,OLS,126085.94
2015-05-31,OLS,127407.26
2015-06-30,OLS,123829.15
2015-07-31,OLS,128328.75
2015-08-31,OLS,122789.34
2015-09-30,OLS,122843.94
2015-10-31,OLS,130139.33
2015-11-30,OLS,129626.45
2015-12-31,OLS,130677.21
2015-01-31,FF,125112.49
2015-02-28,FF,129478.03
2015-03-31,FF,126872.90
2015-04-30,FF,127527.64
2015-05-31,FF,128460.35
2015-06-30,FF,124614.39
2015-07-31,FF,129770.68
2015-08-31,FF,123670.66
2015-09-30,FF,123888.40
2015-10-31,FF,130369.07
2015-11-30,FF,129169.70
2015-12-31,FF,130764.46
2015-01-31,LASSO,125649.77
2015-02-28,LASSO,132173.02
2015-03-31,LASSO,129574.01
2015-04-30,LASSO,130252.89
2015-05-31,LASSO,131387.68
2015-06-30,LASSO,128407.65
2015-07-31,LASSO,132863.72
2015-08-31,LASSO,125008.03
2015-09-30,LASSO,124988.87
2015-10-31,LASSO,132769.63
2015-11-30,LASSO,132457.20
2015-12-31,LASSO,132718.36
2015-01-31,BSS,115901.72
2015-02-28,BSS,119672.20
2015-03-31,BSS,116843.20
2015-04-30,BSS,118126.12
2015-05-31,BSS,119353.49
2015-06-30,BSS,116361.24
2015-07-31,BSS,121107.95
2015-08-31,BSS,115958.99
2015-09-30,BSS,116327.96
2015-10-31,BSS,122583.35
2015-11-30,BSS,122466.65
2015-12-31,BSS,123570.74
2016-01-31,OLS,130075.51
2016-02-29,OLS,127962.74
2016-03-31,OLS,134858.01
2016-04-30,OLS,135692.45
2016-05-31,OLS,136721.66
2016-06-30,OLS,140081.32
2016-07-31,OLS,141782.73
2016-08-31,OLS,141380.80
2016-09-30,OLS,135424.02
2016-10-31,OLS,134358.58
2016-11-30,OLS,139642.63
2016-12-31,OLS,146848.16
2016-01-31,FF,131017.47
2016-02-29,FF,129423.43
2016-03-31,FF,136237.55
2016-04-30,FF,136880.50
2016-05-31,FF,137794.18
2016-06-30,FF,142276.02
2016-07-31,FF,143883.08
2016-08-31,FF,142523.63
2016-09-30,FF,138057.56
2016-10-31,FF,136563.44
2016-11-30,FF,139931.06
2016-12-31,FF,146695.72
2016-01-31,LASSO,132191.71
2016-02-29,LASSO,130781.46
2016-03-31,LASSO,137356.43
2016-04-30,LASSO,138706.16
2016-05-31,LASSO,139333.84
2016-06-30,LASSO,143646.46
2016-07-31,LASSO,145332.75
2016-08-31,LASSO,143108.90
2016-09-30,LASSO,139643.69
2016-10-31,LASSO,137091.13
2016-11-30,LASSO,140148.34
2016-12-31,LASSO,146541.65
2016-01-31,BSS,122879.16
2016-02-29,BSS,120061.59
2016-03-31,BSS,126244.23
2016-04-30,BSS,127014.22
2016-05-31,BSS,127887.45
2016-06-30,BSS,129284.99
2016-07-31,BSS,130100.31
2016-08-31,BSS,130429.00
2016-09-30,BSS,124407.67
2016-10-31,BSS,123655.64
2016-11-30,BSS,130662.61
2016-12-31,BSS,136488.86
