period,test_year,model,ticker,weight
2,2013,LASSO,DIS,0.00000027
2,2013,LASSO,MCD,0.12576671
2,2013,LASSO,KO,0.08158846
2,2013,LASSO,PEP,0.13885264
2,2013,LASSO,WMT,0.07688657
2,2013,LASSO,C,0.00000006
2,2013,LASSO,WFC,0.00000012
2,2013,LASSO,JPM,0.00000014
2,2013,LASSO,AAPL,0.01954825
2,2013,LASSO,IBM,0.12624276
2,2013,LASSO,PFE,0.00000866
2,2013,LASSO,JNJ,0.06882665
2,2013,LASSO,XOM,0.01002904
2,2013,LASSO,MRO,0.00000028
2,2013,LASSO,ED,0.19948969
2,2013,LASSO,T,0.05425997
2,2013,LASSO,VZ,0.06694252
2,2013,LASSO,NEM,0.03155698
2,2013,BSS,F,0.00301739
2,2013,BSS,CAT,0.00000007
2,2013,BSS,DIS,0.00000015
2,2013,BSS,MCD,0.10009715
2,2013,BSS,KO,0.01728606
2,2013,BSS,PEP,0.11967145
2,2013,BSS,WMT,0.09811565
2,2013,BSS,C,0.00000005
2,2013,BSS,WFC,0.00000013
2,2013,BSS,JPM,0.00000015
2,2013,BSS,AAPL,0.04485844
2,2013,BSS,IBM,0.24398725
2,2013,BSS,PFE,0.00000030
2,2013,BSS,JNJ,0.03245809
2,2013,BSS,XOM,0.00000045
2,2013,BSS,MRO,0.00000015
2,2013,BSS,ED,0.25947771
2,2013,BSS,T,0.00002780
2,2013,BSS,VZ,0.05570442
2,2013,BSS,NEM,0.02529714
3,2014,OLS,F,0.00000011
3,2014,OLS,CAT,0.00000001
3,2014,OLS,DIS,0.03970674
3,2014,OLS,MCD,0.34267989
3,2014,OLS,KO,0.00000021
3,2014,OLS,PEP,0.06283995
3,2014,OLS,WMT,0.04221364
3,2014,OLS,C,0.00000005
3,2014,OLS,WFC,0.00000019
3,2014,OLS,JPM,0.00000001
3,2014,OLS,AAPL,0.08319125
3,2014,OLS,IBM,0.00555430
3,2014,OLS,PFE,0.10998913
3,2014,OLS,JNJ,0.09356311
3,2014,OLS,XOM,0.00000004
3,2014,OLS,MRO,0.00000075
3,2014,OLS,ED,0.16394617
3,2014,OLS,T,0.00000004
3,2014,OLS,VZ,0.04729166
3,2014,OLS,NEM,0.00902275
3,2014,FF,F,0.00000009
3,2014,FF,CAT,0.00000002
3,2014,FF,DIS,0.05291925
3,2014,FF,MCD,0.28774131
3,2014,FF,KO,0.06625908
3,2014,FF,PEP,0.09398454
3,2014,FF,WMT,0.06552793
3,2014,FF,C,0.00000002
3,2014,FF,WFC,0.00000033
3,2014,FF,JPM,0.00000002
3,2014,FF,AAPL,0.07256119
3,2014,FF,IBM,0.00000013
3,2014,FF,PFE,0.06163572
3,2014,FF,JNJ,0.03236350
3,2014,FF,XOM,0.00000007
3,2014,FF,MRO,0.00000004
3,2014,FF,ED,0.16998170
3,2014,FF,T,0.01021755
3,2014,FF,VZ,0.08680746
3,2014,FF,NEM,0.00000008
3,2014,LASSO,F,0.00000051
3,2014,LASSO,CAT,0.00000039
3,2014,LASSO,DIS,0.07356053
3,2014,LASSO,MCD,0.19136097
3,2014,LASSO,KO,0.09993132
3,2014,LASSO,PEP,0.08498795
3,2014,LASSO,WMT,0.07548921
3,2014,LASSO,C,0.00000027
3,2014,LASSO,WFC,0.00000243
3,2014,LASSO,JPM,0.00000031
3,2014,LASSO,AAPL,0.07105218
3,2014,LASSO,IBM,0.00175252
3,2014,LASSO,PFE,0.09122404
3,2014,LASSO,JNJ,0.07047386
3,2014,LASSO,XOM,0.00000712
3,2014,LASSO,MRO,0.00000240
3,2014,LASSO,ED,0.08737877
3,2014,LASSO,T,0.05407231
3,2014,LASSO,VZ,0.09870269
3,2014,LASSO,NEM,0.00000022
3,2014,BSS,F,0.01295095
3,2014,BSS,CAT,0.01705184
3,2014,BSS,DIS,0.00000056
3,2014,BSS,MCD,0.29997789
3,2014,BSS,KO,0.21380569
3,2014,BSS,PEP,0.04705615
3,2014,BSS,WMT,0.03737443
3,2014,BSS,C,0.00000039
3,2014,BSS,WFC,0.00000110
3,2014,BSS,JPM,0.00000042
3,2014,BSS,AAPL,0.00000161
3,2014,BSS,IBM,0.02923315
3,2014,BSS,PFE,0.01026786
3,2014,BSS,JNJ,0.03191307
3,2014,BSS,XOM,0.05957253
3,2014,BSS,MRO,0.00000215
3,2014,BSS,ED,0.15318465
3,2014,BSS,T,0.00000224
3,2014,BSS,VZ,0.08414700
3,2014,BSS,NEM,0.00345631
4,2015,OLS,F,0.00000040
4,2015,OLS,CAT,0.00000027
4,2015,OLS,DIS,0.00000026
4,2015,OLS,MCD,0.13027616
4,2015,OLS,KO,0.00000032
4,2015,OLS,PEP,0.09891399
4,2015,OLS,WMT,0.03230863
4,2015,OLS,C,0.00000009
4,2015,OLS,WFC,0.24326999
4,2015,OLS,JPM,0.00000046
4,2015,OLS,AAPL,0.04400503
4,2015,OLS,IBM,0.00775239
4,2015,OLS,PFE,0.01586838
4,2015,OLS,JNJ,0.09353923
4,2015,OLS,XOM,0.00000017
4,2015,OLS,MRO,0.00000017
4,2015,OLS,ED,0.19017389
4,2015,OLS,T,0.01956072
4,2015,OLS,VZ,0.11801314
4,2015,OLS,NEM,0.00631629
